school,used,ploc,m_CC,m_EE,m_F,m_G,m_MD,m_NBT,m_NF,m_NS,m_OA,m_RP,m_SP,s_CC,s_EE,s_F,s_G,s_MD,s_NBT,s_NF,s_NS,s_OA,s_RP,s_SP,n_CC,n_EE,n_F,n_G,n_MD,n_NBT,n_NF,n_NS,n_OA,n_RP,n_SP
491,3,-2.86, , , , ,.324333333333333,-.175888888888889, , ,-.0544444444444444, , , , , , ,1.44347174086182,1.02355549977083, , ,.829412911508965, , , , , , ,6,9, , ,9, , 
3945,4,1.24, , , , ,.407333333333333,-.986,-.0951666666666667, ,.53375, , , , , , ,.771062470447974,1.54879114150359,1.12751042862879, ,.455690227384057, , , , , , ,3,4,6, ,4, , 
1357,4,1.61, , , , ,.448,.344666666666667,-.192777777777778, ,-.338142857142857, , , , , , ,.406025122375451,.626388590785837,1.00101957745313, ,.657912716746791, , , , , , ,6,6,9, ,7, , 
3960,4,.84, , , , ,.458,.05225,-.188833333333333, ,.535, , , , , , , ,.719665373628605,1.10667636039931, ,.425679848399397, , , , , , ,1,4,6, ,4, , 
3960,4,.39, , , , ,.461285714285714,-.586714285714286,.02, ,.1078, , , , , , ,.838393049089689,.801887089783783,1.20281783741346, ,1.16790290692335, , , , , , ,7,7,9, ,5, , 
3910,4,.89, , , , ,.58675,-.1982,-.206714285714286, ,.6555, , , , , , ,2.4635727950817,1.1265432526095,.826836282522265, ,.126572113832392, , , , , , ,4,5,7, ,2, , 
3933,4,2.55, , , , ,.6328,.0696666666666667,-.159444444444444, ,.073, , , , , , ,.641158812013235,.694868114802872,.816629242840004, ,.595084715130391, , , , , , ,10,12,18, ,12, , 
4054,3,-2.71, , , , ,.6635,-.4152, , ,.0947272727272727, , , , , , ,.133092699524304,1.00105530982725, , ,.859051464221916, , , , , , ,4,10, , ,11, , 
3910,4,1.71, , , , ,.77575,-.476166666666667,-.1888, ,.79, , , , , , ,.846813783150306,.623120346856582,.89636917617687, ,.717006276123159, , , , , , ,4,6,5, ,2, , 
750,4,-2.34, , , ,-.000250000000000028,.1296,-.0533846153846154, , ,.19825, , , , , ,.786478808784233,.752150132767536,.733654952783384, , ,.431997202923044, , , , , ,4,10,13, , ,4, , 
750,4,-2.34, , , ,-.000250000000000028,.4606,-.122153846153846, , ,-.37675, , , , , ,.786478808784233,1.16283439157183,.995936230066451, , ,.959533697514927, , , , , ,4,10,13, , ,4, , 
3911,5,0, , , ,-.00133333333333332,.3185,-.1482,.14425, ,-.243, , , , , ,.618792641628303,1.01168687514138,1.22684379608816,.698851251289265, ,1.58880143504467, , , , , ,3,4,5,8, ,5, , 
3930,5,.65, , , ,-.00149999999999997,-.535833333333333,.407857142857143,-.370125, ,.6545, , , , , ,1.00374996886675,1.21913179489887,.76326130792529,.511297809500491, ,.291561885940761, , , , , ,8,12,14,16, ,4, , 
3911,5,-1.26, , , ,-.00233333333333332,-.0826363636363636,.029,.351, ,-.174285714285714, , , , , ,.411291056714504,.694164861214866,.494894736282374,.94573815967564, ,.895384966422398, , , , , ,3,11,6,4, ,7, , 
3910,5,-1.26, , , ,-.00233333333333332,.138636363636364,.029,.0135000000000001, ,-.493857142857143, , , , , ,.411291056714504,.897816047164147,.494894736282374,1.38292961980476, ,.9077217687837, , , , , ,3,11,6,4, ,7, , 
3935,5,-1.26, , , ,-.00233333333333332,-.0389090909090909,.029,.3475, ,-.161428571428571, , , , , ,.367869904540541,.938912994046632,.471863616659807,1.81850055972339, ,.7541827685327, , , , , ,6,22,12,8, ,14, , 
3960,5,-.23, , , ,-.0025,.4455,-.0851666666666667,-.259, ,-.263714285714286, , , , , ,.88883322395149,.947736197472693,.643867507074761,.90288402109881, ,.546301416889283, , , , , ,2,6,6,10, ,7, , 
3930,5,-.23, , , ,-.0025,-.593166666666667,.118166666666667,.1943, ,.022, , , , , ,.72572928837136,.252539405865999,1.45478438473219,1.11530331489265, ,.577274764601878, , , , , ,4,12,12,20, ,14, , 
3936,5,-.49, , , ,-.0025,-.169444444444445,-.01425,-.219666666666667, ,.652, , , , , ,1.1321295988408,.336397912531507,1.24698438910303,.105572946623761, ,.959556147393158, , , , , ,8,18,16,18, ,4, , 
3937,5,.01, , , ,-.00266666666666665,.1246,.1834,-.221375, ,-.2832, , , , , ,.553976413456987,1.13764173231783,1.17024814082788,.917302558228927, ,.64947205910305, , , , , ,6,10,10,16, ,10, , 
3867,5,.01, , , ,-.00366666666666665,-.091,.89075,-.17225, ,-.2844, , , , , ,.620153475627875,1.36060060267516,.352685294089032,.960659111533029, ,.689735674008529, , , , , ,3,4,4,8, ,5, , 
3905,5,.6, , , ,-.00366666666666665,-.107333333333333,.425333333333333,-.092, ,-.258, , , , , ,.843840229743364,.756205439458529,.52087567294573,1.31494269293923, ,.462724540088377, , , , , ,3,6,6,8, ,6, , 
3934,5,-.59, , , ,-.00433333333333332,-.1348,-.185666666666667,.0685, ,-.64, , , , , ,.777427724400582,.291380164046903,.779848858705482,.58977695541862, ,0, , , , , ,6,10,12,8, ,2, , 
3960,5,.7, , , ,-.00433333333333334,-.0837,.169833333333333,.4284, ,-.0471428571428571, , , , , ,.14554838828834,.856937188155844,.40578635593951,.283864932670452, ,.714129640091449, , , , , ,3,10,6,5, ,7, , 
3909,5,.7, , , ,-.00433333333333334,.1278,.169833333333333,-.4266, ,.210714285714286, , , , , ,.14554838828834,.750335154743828,.40578635593951,.938002292108074, ,.476472354666989, , , , , ,3,10,6,5, ,7, , 
3931,5,-.26, , , ,-.0045,-.3975,-.429875,.342545454545455, ,-.19825, , , , , ,.713027582449188,.236853782502442,1.18827218402744,.862435903886015, ,.486303476677446, , , , , ,4,8,16,22, ,8, , 
3910,5,1.41, , , ,-.00466666666666667,-.2664,.283,.097125, ,-.735, , , , , ,1.11474182362255,1.34280873544969,.919039716225583,.792358403303527, ,1.42835569799683, , , , , ,3,5,4,8, ,2, , 
3960,5,-1.25, , , ,-.00533333333333332,-.274909090909091,-.102,.3705, ,.118428571428571, , , , , ,.412201811414425,.709778198389533,1.27393280827522,.906123427942721, ,.779457686930013, , , , , ,3,11,6,4, ,7, , 
3960,5,-1.25, , , ,-.00533333333333332,-.275090909090909,.0251666666666667,.3705, ,.167, , , , , ,.412201811414425,.761326665045361,.495177712207109,.906123427942721, ,1.17264714783831, , , , , ,3,11,6,4, ,7, , 
3932,5,-1.25, , , ,-.00533333333333332,-.339181818181818,.0251666666666667,.7125, ,.406714285714286, , , , , ,.368684508308481,1.12718281934436,.472133423617699,1.59236634334834, ,.561426675611261, , , , , ,6,22,12,8, ,14, , 
3934,5,-1.25, , , ,-.00533333333333332,.0637272727272727,.0251666666666667,-.62475, ,.466428571428571, , , , , ,.368684508308481,1.28951479179899,.472133423617699,.257452769593626, ,.928742219289136, , , , , ,6,22,12,8, ,14, , 
3933,5,.78, , , ,-.00549999999999995,-.0556666666666667,.0921428571428571,.058, ,-.436333333333333, , , , , ,1.20493001179875,.431518522538857,.823131810843183,.764535537588211, ,.771508824749702, , , , , ,4,18,14,18, ,6, , 
3936,5,.78, , , ,-.00549999999999995,-.124666666666667,.712428571428571,-.151666666666667, ,-1.32733333333333, , , , , ,1.20493001179875,1.25244955281757,1.70695345861863,.787774676653465, ,.777949269982733, , , , , ,4,18,14,18, ,6, , 
3932,5,-1.78, , , ,-.00600000000000001,.6879,-.6456,-.03, ,-.288857142857143, , , , , ,.41684689435491,1.55650590138702,.977896745287786,.734004844065154, ,.830538736848916, , , , , ,4,20,10,10, ,14, , 
3933,4,-1.83, , , ,-.00639999999999998,.31075,-.141833333333333, , ,.25175, , , , , ,.68901849676833,1.01867610161425,1.17008879881035, , ,1.04419056142614, , , , , ,10,16,24, , ,8, , 
750,4,-1.83, , , ,-.00639999999999998,-.029375,.1965, , ,-.302, , , , , ,.730814477141771,.748586083894164,1.09067689574369, , ,.728919291371365, , , , , ,5,8,12, , ,4, , 
3866,4,-1.83, , , ,-.00639999999999998,-.9255,.241083333333333, , ,.75725, , , , , ,.730814477141771,2.07006059262594,.586619042918956, , ,.627562148316802, , , , , ,5,8,12, , ,4, , 
3934,5,-.23, , , ,-.00700000000000001,-.258166666666667,-.0805,.1022, ,.0248571428571429, , , , , ,1.83712855656139,.668774840943339,1.05389472477525,.738995164146275, ,.805019145223158, , , , , ,4,12,12,20, ,14, , 
3911,5,.4, , , ,-.00749999999999995,-.1126,-.232428571428571,.3589, ,.181, , , , , ,1.64685169338347,1.03172394563662,.96962241055352,1.37701363262839, ,.880140045674551, , , , , ,2,5,7,10, ,5, , 
1357,5,1, , , ,-.00849999999999995,-.393714285714286,.516142857142857,-.3872, ,-.149666666666667, , , , , ,1.64260905269635,.783657177232858,.832581212969928,1.35157708704396, ,1.65733215339191, , , , , ,2,7,7,10, ,6, , 
750,4,-1.19, , , ,-.00924999999999998,-.219333333333333,.390307692307692, , ,-.2, , , , , ,.460922535067807,.664952817875073,.464030060918361, , ,.490117672945318, , , , , ,4,9,13, , ,4, , 
3929,5,-.82, , , ,-.00933333333333334,.616,-.109166666666667,-.588166666666667, ,-.0411428571428571, , , , , ,.294773585428998,1.22463467827679,.52575743341191,.244718329117499, ,.673499798086071, , , , , ,6,22,12,12, ,14, , 
3935,5,-1.07, , , ,-.00966666666666667,.532555555555556,-.0978333333333333,.32425, ,-.447571428571429, , , , , ,.339195911925051,1.06564966223163,.557439411030201,1.14831090240032, ,.65499567987838, , , , , ,6,18,12,8, ,14, , 
3914,5,-.23, , , ,-.011,-.129857142857143,.648333333333333,-.0168888888888889, ,-.265142857142857, , , , , ,2.25001377773559,1.21052528936428,.859165564176467,.914964540903696, ,.546841667691672, , , , , ,2,7,6,9, ,7, , 
3936,5,-.81, , , ,-.0116666666666667,-.252090909090909,.222833333333333,.7034, ,-.114142857142857, , , , , ,.296823628888717,.806363436263073,.534102277119507,1.32585378781624, ,.72900531359706, , , , , ,6,22,12,10, ,14, , 
4054,5,-1.43, , , ,-.012,-.209,.14825, , ,-.83,1.079, , , , ,.760159522731907,.834849687069475,1.12497015111917, , ,1.85403398027113, , , , , ,5,5,12, , ,2,1, 
3910,4,-1.18, , , ,-.01225,-.1791,.133461538461539, , ,.6655, , , , , ,.464216454541054,.642274335640326,.477776205523153, , ,.583450940525423, , , , , ,4,10,13, , ,4, , 
750,4,-1.18, , , ,-.01225,.0322,.0567692307692308, , ,-.20325, , , , , ,.464216454541054,.867181872504263,1.49008909990008, , ,.492860612479161, , , , , ,4,10,13, , ,4, , 
3909,4,-1.18, , , ,-.01225,.0369,-.00630769230769226, , ,.3265, , , , , ,.464216454541054,.790503278508909,.974026298807805, , ,.805967120917473, , , , , ,4,10,13, , ,4, , 
3910,4,-1.18, , , ,-.01225,.0588,.0660769230769231, , ,.13575, , , , , ,.464216454541054,.886025557695086,.802378387622122, , ,.642368728483364, , , , , ,4,10,13, , ,4, , 
3910,4,-1.18, , , ,-.01225,.0588,.261, , ,-.20325, , , , , ,.464216454541054,.886025557695086,.496153202146273, , ,.492860612479161, , , , , ,4,10,13, , ,4, , 
750,4,-1.18, , , ,-.01225,.2362,-.316846153846154, , ,.6655, , , , , ,.464216454541054,.774334380828679,1.06914731181394, , ,.583450940525423, , , , , ,4,10,13, , ,4, , 
3910,4,-1.18, , , ,-.01225,.2601,-.0256153846153846, , ,-.18325, , , , , ,.464216454541054,.853197834294277,.580950017709719, , ,1.99757926417618, , , , , ,4,10,13, , ,4, , 
4120,7,-.92, , , ,-.0125,-.248666666666667,.463666666666667,.1175,-1.474,.012,.836, , , , ,.999141881816592,.961918915501717,.275985989982583,.910046427387087, ,.984278754554149, , , , , ,2,9,6,2,1,4,1, 
3911,4,-2.9, , , ,-.01275,.2455,-.212538461538462, , ,-.50175, , , , , ,1.06535076383321,.7045503294064,1.36974721605756, , ,.63735305495986, , , , , ,4,10,13, , ,4, , 
3937,4,-2.9, , , ,-.01275,.5354,-.365846153846154, , ,.01525, , , , , ,.986323150464825,.93407383907382,.789533821558403, , ,.568917455724968, , , , , ,8,20,26, , ,8, , 
3935,5,-.2, , , ,-.013,.468833333333333,-.0945,-.216777777777778, ,-.272428571428571, , , , , ,.726306638640549,1.00593645500854,1.05252799574082,1.08589835704363, ,.527257303160671, , , , , ,4,12,12,18, ,14, , 
3897,4,-3.57, , , ,-.0136666666666667,.248272727272727,.1815, , ,-.51025, , , , , ,1.36005600374887,1.21373333899247,1.27828077012553, , ,.574809751135104, , , , , ,3,11,12, , ,4, , 
4054,5,-.85, , , ,-.0145,-.079,.681285714285714, , ,-.549,-1.239, , , , ,.968029183444384,.833207777208062,.290905319239619, , ,.934905877615496, , , , , ,2,6,7, , ,7,1, 
3999,5,-.72, , , ,-.0153333333333333,-.585,-.034625,-1.1845, ,.345833333333333, , , , , ,.851554069530135,.509116882454314,1.03043041457719,.378302127934803, ,.968669069737786, , , , , ,3,2,8,2, ,6, , 
3866,5,1.69, , , ,-.0155,.227285714285714,.290428571428571,-.212111111111111, ,-.268666666666667, , , , , ,1.02528126222353,1.81532189195982,.617088555812118,1.12174723583841, ,1.51978956876711, , , , , ,4,7,7,9, ,3, , 
2395,5,.06, , , ,-.0163333333333333,-.036,-.558,.289875, ,.1074, , , , , ,.625252215776428,.928441166687475,.738956358657262,.63125146393041, ,.613044696576033, , , , , ,3,3,5,8, ,5, , 
3910,5,.07, , , ,-.0163333333333333,.0894,.7552,-.469, ,.1074, , , , , ,.625252215776428,1.19019569819421,1.43212488980535,.967407876751063, ,.613044696576033, , , , , ,3,5,5,9, ,5, , 
3936,5,-.79, , , ,-.0163333333333334,.107545454545455,-.196166666666667,-.49075, ,.176428571428571, , , , , ,.300924353728087,.810328488787269,1.38449720662467,.232467970143969, ,.585419995753964, , , , , ,6,22,12,8, ,14, , 
3867,4,-.98, , , ,-.01675,.347888888888889,-.253666666666667, , ,.281333333333333, , , , , ,.431749445087464,.85224254828723,1.04697749679154, , ,.24196142943315, , , , , ,4,9,12, , ,3, , 
3932,5,.64, , , ,-.0173333333333333,.218666666666667,.412833333333333,-.4236, ,.015, , , , , ,.759563207815299,.795039316733151,.492958569775546,1.05899557178141, ,.728179770233819, , , , , ,6,12,12,20, ,10, , 
3929,5,-1.17, , , ,-.0186666666666667,.230909090909091,-.4775,.619, ,-.193857142857143, , , , , ,.373096591604194,1.2821000967197,1.05313708854675,.752107970972253, ,.762151898563217, , , , , ,6,22,12,6, ,14, , 
3932,4,-2.98, , , ,-.019,.314888888888889,-.0728571428571428, , ,-.25675, , , , , ,1.03688737506608,1.35671675005112,.789376299238165, , ,1.02826521731646, , , , , ,8,18,28, , ,8, , 
2064,7,.32, , , ,-.0195,-.0873333333333333,.930333333333333,-.2546,-.9855,-.125, ,.395, , , ,1.17450436355086,.817606914517402,.290751325591705,.930774838508219,.0756604255869605,.920653029104885, ,.82335937880531, , , ,2,6,3,5,2,2, ,4
3946,5,1.75, , , ,-.02,-.186555555555556,.548,-.474888888888889, ,-.032, , , , , ,1.1132843302589,.755382537379425,.501803034779868,.608191056421509, ,.729734198184517, , , , , ,4,9,8,9, ,2, , 
3930,4,-2.99, , , ,-.0204,-.058,-.08275, , ,.558, , , , , ,.734953241143045,.403233927144034,.911566461122544, , ,.750129131740472, , , , , ,10,16,24, , ,8, , 
3945,5,1.89, , , ,-.0205,-.497625,1.00214285714286,-.51775, ,.385333333333333, , , , , ,1.0761568968634,.638741158731096,1.10680868996881,1.27797459733305, ,.14787269299412, , , , , ,4,8,7,8, ,3, , 
2064,5,-1.82, , , ,-.0206,-.331666666666667,-.604,1.374, ,.6015, , , , , ,.899716510907741,.929097554978306,1.15122080129458, , ,.378110433603729, , , , , ,5,6,7,1, ,6, , 
3911,5,-1.15, , , ,-.0213333333333333,-.173636363636364,.349166666666667,.1332, ,.0874285714285714, , , , , ,.418283795207672,1.18854282823357,.547663917623451,.883770728186898, ,.781684688593139, , , , , ,3,11,6,5, ,7, , 
3911,5,-1.15, , , ,-.0213333333333333,-.299181818181818,.00633333333333335,.7788, ,.0842857142857143, , , , , ,.418283795207672,.669136730150396,.498302184087795,1.44568485500817, ,1.28266671616672, , , , , ,3,11,6,5, ,7, , 
3935,4,-2.85, , , ,-.0224,.123111111111111,.148636363636364, , ,-.64875, , , , , ,1.1180422572018,.702595933486406,.911208645045247, , ,.624382380551259, , , , , ,10,18,22, , ,8, , 
3905,5,.39, , , ,-.0225000000000001,-.3764,-.109142857142857,.2424, ,.00799999999999996, , , , , ,1.67513596463093,.689910356495683,.928052158837966,.673393099657746, ,1.32203574081793, , , , , ,2,5,7,10, ,5, , 
3934,5,-.55, , , ,-.0233333333333334,-.0632222222222222,-.497571428571429,.412777777777778, ,-.01, , , , , ,.765038212553247,.349937062501842,.394529459616762,1.50235859882956, ,.709041606677634, , , , , ,6,18,14,18, ,6, , 
3931,5,-.99, , , ,-.0236666666666667,-.162888888888889,-.120333333333333,.455, ,.448142857142857, , , , , ,.345357013345128,1.21879414315901,.566565944702794,.933757046678751, ,1.2222343258364, , , , , ,6,18,12,10, ,14, , 
3934,5,-1.14, , , ,-.0236666666666667,.1321,.00383333333333335,-.1612, ,-.221, , , , , ,.374638314466989,.885848442544149,.475567953911824,1.08397978660941, ,.872382061678518, , , , , ,6,20,12,10, ,14, , 
2395,5,.66, , , ,-.024,-.0693333333333333,-.00349999999999998,.32, ,-.762, , , , , ,.851635485404407,1.10291154072603,1.0840226473649,.925222495763406, ,2.08981080483378, , , , , ,3,6,6,10, ,6, , 
3867,4,-1.77, , , ,-.024,-.316166666666667,.231888888888889, , ,.18725, , , , , ,.743641714806263,.496411690703056,.788293797458226, , ,.629906011507537, , , , , ,5,6,9, , ,4, , 
3935,5,.66, , , ,-.024,.222,.7635,-.2408, ,-.272833333333333, , , , , ,.761725934966114,.928568595400273,.490656980717968,.899245976535781, ,.44634003208588, , , , , ,6,12,12,20, ,12, , 
3932,5,1.58, , , ,-.02425,-.15175,-.348,.464, ,-1.898, , , , , ,1.33181323765759,.428396623080372,.530680318082365,1.04517150107849, ,0, , , , , ,8,16,16,16, ,2, , 
3936,5,1.58, , , ,-.02425,-.363875,-.09625,.38975, ,.527, , , , , ,1.33181323765759,.593445181405438,.682963883866978,.866287673543456, ,0, , , , , ,8,16,16,16, ,2, , 
3934,5,-.98, , , ,-.0246666666666667,-.458,-.121333333333333,.75, ,.388, , , , , ,.345357013345128,.727274508371025,.567320229168891,.929426243903809, ,1.21820889960504, , , , , ,6,20,12,8, ,14, , 
3929,5,-.98, , , ,-.0246666666666667,.4127,-.121333333333333,-.79925, ,.164142857142857, , , , , ,.345357013345128,1.37387090866799,.567320229168891,.231980756591083, ,.879898670489773, , , , , ,6,20,12,8, ,14, , 
3875,8,.61, , , ,-.025,-.133,-.412666666666667,.435,.284666666666667,-1.319,-1.168,-1.167, , , ,1.20490995514188,1.61489566226428,.755596673717754,.955216031412092,1.27671667439047, ,.461033621333629, , , , ,2,3,3,7,6,1,2,1
3914,5,.83, , , ,-.0255,.761888888888889,.428666666666667,-.662, ,-.452333333333333, , , , , ,1.35552369953461,1.65155490708336,1.22615115979502,.568733932269111, ,.871321027712136, , , , , ,2,9,6,8, ,3, , 
3933,5,-2.3, , , ,-.0256666666666667,.019,-.20125, , ,.0378, ,.579, , , ,1.04049715681175,.589289645008535,1.00730783349906, , ,1.14940188793998, , , , , ,3,8,8, , ,5, ,1
3914,4,-.93, , , ,-.026,-.359444444444444,-.160076923076923, , ,.60775, , , , , ,.441532935728846,1.46674453391781,1.28068292078474, , ,.837680279104146, , , , , ,4,9,13, , ,4, , 
2064,7,-1.41, , , ,-.028,.369111111111111,-.328333333333333,.3335,-.562,-.0448,-.935, , , , , ,.837919811862156,1.00194983241012,1.05853885143626, ,.779388670690048, , , , , ,1,9,6,2,1,5,1, 
3960,5,.63, , , ,-.02825,-.877125,.05975,.804444444444445, ,-.416333333333333, , , , , ,1.14418948751216,.847059693882314,.741201100531139,1.81405892345805, ,.947724819414018, , , , , ,4,8,8,9, ,3, , 
3936,5,.68, , , ,-.029,-.241714285714286,.599285714285714,.3307, ,-.498166666666667, , , , , ,1.19511505722253,1.27530336834758,.79982684939366,1.06819336412369, ,.642337610653935, , , , , ,4,14,14,20, ,12, , 
3960,5,.52, , , ,-.0293333333333333,.2805,-.281,-.204222222222222, ,.198666666666667, , , , , ,1.31545632133239,.990202353057192,.987486506236921,.86696738372585, ,1.06661589462499, , , , , ,3,6,6,9, ,6, , 
