trueloc,idall,id1,id2,id3,id4,  seall,se1,se2,se3,se4,  zall,z1,z2,z3,z4,  zzall,zz1,zz2,zz3,zz4
 2.694 , 4.710 , 2.472 , 2.295 , 3.191 , 4.089 , 1.845 , 1.921 , 1.910 , 1.909 , 1.874 , 0.100 , 0.240 , 0.238 , 0.241 , 0.163 , 0.002 , 0.009 , 0.009 , 0.008 , 0.005
 2.516 , 2.617 , 1.716 , 1.484 , 2.084 , 3.878 , 0.762 , 1.168 , 1.173 , 1.904 , 1.881 , 0.070 , 0.067 , 0.094 , 0.242 , 0.162 , 0.436 , 0.588 , 0.386 , 0.007 , 0.006
 2.405 , 2.898 , 3.233 , 2.958 , 2.969 , 1.962 , 0.759 , 1.933 , 1.921 , 1.910 , 0.839 , 0.023 , 0.232 , 0.238 , 0.241 , 0.025 , 0.720 , 0.014 , 0.010 , 0.008 , 0.852
-1.852 ,-3.419 ,-2.629 ,-2.154 ,-3.199 ,-3.226 , 1.041 , 1.899 , 1.193 , 1.920 , 1.872 ,-0.077 ,-0.243 ,-0.081 ,-0.231 ,-0.166 , 0.243 , 0.006 , 0.454 , 0.013 , 0.004
 2.228 , 2.175 , 2.926 , 0.801 , 1.899 , 2.612 , 0.642 , 1.889 , 0.946 , 1.902 , 1.110 ,-0.021 , 0.250 , 0.017 , 0.243 ,-0.143 , 1.096 , 0.002 , 1.061 , 0.006 , 2.014
-0.214 ,-0.293 , 0.082 ,-1.724 ,-0.089 ,-0.021 , 0.425 , 0.967 , 1.182 , 0.924 , 0.661 ,-0.012 ,-0.005 , 0.049 ,-0.006 ,-0.010 , 1.120 , 1.174 , 1.211 , 1.067 , 1.042
 1.148 , 1.472 , 1.629 , 2.009 , 1.439 , 1.152 , 0.487 , 1.147 , 1.134 , 1.197 , 0.721 ,-0.008 , 0.065 ,-0.009 ,-0.059 ,-0.001 , 1.050 , 0.609 , 1.051 , 1.306 , 1.058
 1.415 , 1.336 , 2.595 , 0.305 , 0.566 , 1.847 , 0.496 , 1.889 , 0.950 , 1.003 , 0.845 , 0.050 , 0.248 , 0.033 , 0.035 , 0.021 , 0.648 , 0.003 , 0.637 , 0.478 , 0.791
 2.382 , 1.593 , 3.854 , 1.832 , 0.801 , 1.107 , 0.503 , 1.970 , 1.158 , 0.951 , 0.729 , 0.011 , 0.214 , 0.091 ,-0.014 , 0.013 , 0.995 , 0.024 , 0.428 , 0.896 , 0.952
 0.595 , 0.847 , 1.163 , 1.018 , 0.567 , 0.728 , 0.450 , 0.990 , 0.983 , 0.983 , 0.727 , 0.005 , 0.032 ,-0.098 , 0.016 , 0.029 , 0.768 , 0.540 , 1.637 , 0.716 , 0.463
-1.285 ,-1.525 ,-2.394 ,-1.442 ,-0.100 ,-2.565 , 0.524 , 1.281 , 1.254 , 0.940 , 1.152 ,-0.019 ,-0.078 , 0.082 , 0.002 ,-0.114 , 0.816 , 0.307 , 1.610 , 0.888 , 0.164
-0.673 ,-1.112 ,-0.625 ,-0.755 ,-1.591 ,-1.435 , 0.472 , 0.970 , 0.927 , 1.183 , 0.805 ,-0.001 , 0.026 , 0.023 ,-0.083 ,-0.058 , 0.977 , 1.547 , 1.296 , 0.432 , 0.526
-0.218 , 0.357 ,-0.154 , 0.905 , 0.477 , 0.215 , 0.445 , 1.071 , 0.971 , 0.924 , 0.731 ,-0.026 ,-0.028 ,-0.338 , 0.019 , 0.011 , 0.957 , 0.437 , 3.135 , 0.824 , 0.507
 2.370 , 2.061 , 1.624 , 1.398 , 1.591 , 2.982 , 0.577 , 1.144 , 1.162 , 1.172 , 1.105 ,-0.038 , 0.062 ,-0.001 ,-0.093 ,-0.048 , 1.231 , 0.610 , 1.011 , 1.579 , 1.200
-0.461 ,-0.593 ,-1.048 , 0.460 ,-0.408 ,-1.232 , 0.458 , 1.155 , 0.929 , 0.975 , 0.803 , 0.008 ,-0.079 ,-0.004 ,-0.019 , 0.190 , 1.230 , 0.505 , 0.938 , 0.661 , 2.495
 1.422 , 1.175 , 1.869 ,-0.303 , 1.013 , 2.114 , 0.479 , 1.142 , 1.012 , 0.965 , 1.108 , 0.029 , 0.057 , 0.010 ,-0.032 , 0.102 , 0.732 , 0.637 , 0.806 , 1.090 , 0.262
-1.487 ,-1.992 ,-1.604 ,-1.616 ,-3.118 ,-1.772 , 0.565 , 1.204 , 1.163 , 1.891 , 0.820 ,-0.031 ,-0.087 ,-0.067 ,-0.245 , 0.021 , 0.765 , 0.364 , 0.532 , 0.005 , 1.094
 1.202 , 1.451 , 1.352 , 1.983 , 0.322 , 1.850 , 0.496 , 1.167 , 1.189 , 0.992 , 0.819 , 0.004 , 0.042 , 0.038 , 0.030 ,-0.099 , 1.004 , 0.748 , 0.776 , 0.522 , 1.625
-1.752 ,-1.677 ,-0.488 ,-3.359 ,-1.435 ,-1.818 , 0.544 , 0.926 , 1.937 , 1.213 , 0.882 ,-0.052 ,-0.014 ,-0.226 ,-0.097 ,-0.095 , 0.609 , 0.879 , 0.017 , 0.308 , 0.278
 0.994 , 1.711 , 0.566 , 1.385 , 1.327 , 3.581 , 0.541 , 1.023 , 0.998 , 1.167 , 1.869 , 0.038 , 0.017 , 0.031 , 0.025 , 0.159 , 0.640 , 0.629 , 0.524 , 0.807 , 0.006
 0.349 , 0.444 , 0.750 , 0.168 , 1.129 , 0.152 , 0.434 , 0.998 , 0.953 , 1.138 , 0.672 ,-0.001 , 0.018 , 0.031 ,-0.023 ,-0.020 , 0.879 , 0.590 , 0.634 , 1.117 , 1.054
 0.946 , 0.358 , 0.909 , 3.816 , 0.372 ,-1.837 , 0.437 , 0.989 , 1.886 , 0.973 , 0.879 ,-0.017 ,-0.002 , 0.251 , 0.033 ,-0.033 , 1.299 , 0.761 , 0.001 , 0.641 , 0.689
 2.432 , 2.161 , 2.145 , 2.234 , 1.385 , 2.571 , 0.586 , 1.251 , 1.206 , 1.204 , 1.085 , 0.053 ,-0.050 , 0.091 , 0.085 , 0.071 , 0.604 , 1.298 , 0.357 , 0.385 , 0.449
 0.206 , 0.343 ,-0.886 , 1.620 , 0.685 , 0.267 , 0.434 , 0.935 , 1.183 , 0.918 , 0.701 , 0.003 ,-0.015 , 0.086 ,-0.016 , 0.030 , 0.866 , 0.967 , 0.428 , 1.085 , 0.529
 1.752 , 1.930 , 3.157 , 1.130 , 1.822 , 1.729 , 0.579 , 1.933 , 1.155 , 1.194 , 0.847 , 0.039 , 0.231 , 0.068 , 0.075 , 0.027 , 0.691 , 0.014 , 0.590 , 0.487 , 0.756
-0.348 ,-0.645 ,-0.382 ,-0.860 ,-1.219 ,-0.440 , 0.443 , 0.982 , 1.006 , 1.154 , 0.693 ,-0.011 , 0.035 ,-0.018 ,-0.074 ,-0.007 , 0.781 , 0.486 , 0.753 , 0.542 , 1.058
 1.975 , 2.638 , 1.105 , 1.617 , 3.025 , 3.742 , 0.769 , 1.206 , 1.249 , 1.905 , 1.890 , 0.078 , 0.101 , 0.091 , 0.239 , 0.157 , 0.356 , 0.306 , 0.300 , 0.008 , 0.008
 1.003 , 1.098 , 2.771 , 2.729 ,-0.379 , 0.642 , 0.483 , 1.891 , 1.900 , 0.955 , 0.721 , 0.022 , 0.248 , 0.244 , 0.082 , 0.039 , 0.877 , 0.003 , 0.005 , 1.339 , 0.730
 2.513 , 2.793 , 2.507 , 2.527 , 2.186 , 2.680 , 0.773 , 1.913 , 1.893 , 1.164 , 1.139 ,-0.003 , 0.240 , 0.247 , 0.069 ,-0.123 , 0.939 , 0.008 , 0.004 , 0.535 , 1.716
-1.043 ,-1.153 ,-1.329 ,-0.795 ,-0.522 ,-1.793 , 0.495 , 0.947 , 0.998 , 1.076 , 1.099 ,-0.033 ,-0.012 , 0.027 ,-0.007 ,-0.109 , 0.802 , 1.269 , 1.213 , 0.645 , 0.256
 2.580 , 4.455 , 2.824 , 3.245 , 2.610 , 3.204 , 1.845 , 1.900 , 1.931 , 1.928 , 1.864 , 0.102 , 0.243 , 0.232 , 0.237 , 0.169 , 0.002 , 0.006 , 0.014 , 0.011 , 0.003
 0.020 ,-0.409 , 0.004 ,-1.628 , 0.152 ,-0.376 , 0.458 , 0.981 , 1.200 , 0.952 , 0.732 ,-0.003 ,-0.020 ,-0.002 ,-0.010 , 0.008 , 1.169 , 0.845 , 1.004 , 1.198 , 1.160
 0.151 , 0.441 , 0.385 ,-0.304 , 0.572 , 0.830 , 0.435 , 0.992 , 0.950 , 0.962 , 0.733 , 0.023 , 0.021 ,-0.032 , 0.034 , 0.034 , 0.784 , 1.033 , 0.621 , 0.805 , 0.692
 1.383 , 0.435 ,-0.693 , 1.805 ,-1.106 , 1.393 , 0.472 , 0.975 , 1.173 , 0.921 , 0.879 ,-0.051 , 0.010 , 0.092 , 0.003 ,-0.222 , 1.517 , 0.697 , 0.394 , 1.063 , 2.833
 1.326 , 1.105 , 1.675 , 0.221 ,-0.466 , 3.331 , 0.498 , 1.167 , 0.957 , 0.997 , 1.881 , 0.045 , 0.092 , 0.030 ,-0.006 , 0.161 , 0.687 , 0.410 , 0.559 , 0.775 , 0.006
 0.059 ,-0.271 , 0.050 ,-0.587 ,-2.632 , 0.571 , 0.446 , 0.968 , 1.159 , 1.901 , 0.699 , 0.019 ,-0.027 , 0.062 ,-0.241 ,-0.032 , 1.202 , 0.985 , 1.345 , 0.007 , 1.379
 1.235 , 0.941 ,-0.459 ,-0.147 , 3.474 , 1.318 , 0.498 , 0.989 , 1.026 , 1.979 , 0.840 ,-0.164 , 0.009 ,-0.035 , 0.221 ,-0.444 , 2.283 , 1.343 , 0.449 , 0.023 , 4.419
-0.876 ,-1.086 ,-1.650 , 1.366 ,-2.621 ,-1.790 , 0.472 , 1.210 , 1.124 , 1.909 , 0.833 ,-0.014 ,-0.102 ,-0.006 ,-0.241 ,-0.032 , 0.868 , 0.298 , 1.034 , 0.008 , 0.746
-0.608 , 0.055 ,-0.474 ,-0.457 , 1.226 , 0.033 , 0.424 , 0.960 , 0.943 , 1.118 , 0.700 , 0.003 ,-0.024 ,-0.027 , 0.034 , 0.002 , 0.691 , 0.652 , 0.713 , 0.804 , 0.602
 1.055 , 1.001 , 0.668 , 1.050 , 1.659 , 0.823 , 0.489 , 1.149 , 1.188 , 1.178 , 0.713 , 0.059 , 0.081 , 0.089 , 0.078 , 0.029 , 0.502 , 0.496 , 0.403 , 0.466 , 0.510
-0.336 ,-0.437 ,-0.986 ,-0.193 , 0.734 ,-0.896 , 0.451 , 1.150 , 0.956 , 1.046 , 0.741 , 0.002 ,-0.014 , 0.094 , 0.036 ,-0.038 , 0.967 , 0.902 , 1.815 , 0.379 , 0.706
 2.331 , 1.715 , 1.512 , 1.478 , 1.530 , 2.224 , 0.543 , 1.190 , 0.942 , 1.315 , 1.095 ,-0.095 ,-0.100 , 0.001 ,-0.245 ,-0.062 , 1.602 , 1.556 , 1.185 , 2.693 , 1.297
 1.639 , 1.953 , 0.222 , 2.682 , 0.648 , 4.031 , 0.565 , 1.021 , 1.898 , 0.966 , 1.862 ,-0.087 ,-0.052 , 0.246 , 0.034 , 0.169 , 1.773 , 1.993 , 0.005 , 0.539 , 0.003
-0.086 ,-0.326 ,-0.990 ,-0.196 , 0.574 ,-0.535 , 0.437 , 1.156 , 0.929 , 1.143 , 0.723 , 0.029 , 0.105 ,-0.022 , 0.061 , 0.080 , 1.050 , 1.608 , 0.707 , 0.629 , 1.490
-1.697 ,-2.416 ,-1.845 ,-1.238 ,-2.758 ,-3.717 , 0.637 , 1.133 , 1.003 , 1.890 , 1.867 ,-0.080 ,-0.058 ,-0.030 ,-0.248 ,-0.166 , 0.445 , 0.656 , 0.519 , 0.003 , 0.004
-0.702 ,-0.851 ,-0.319 ,-2.457 ,-2.243 , 0.085 , 0.462 , 0.997 , 1.890 , 1.171 , 0.672 ,-0.037 ,-0.023 ,-0.247 ,-0.010 ,-0.016 , 0.860 , 0.539 , 0.003 , 0.930 , 0.806
 1.665 , 1.725 , 2.002 , 1.632 , 1.665 , 1.664 , 0.526 , 1.212 , 1.160 , 1.133 , 0.834 , 0.077 , 0.094 , 0.078 , 0.064 , 0.082 , 0.491 , 0.330 , 0.516 , 0.619 , 0.470
 2.295 , 2.003 , 1.224 , 2.448 , 1.750 , 2.332 , 0.583 , 1.176 , 1.238 , 1.151 , 1.074 , 0.002 , 0.093 ,-0.091 ,-0.061 , 0.006 , 0.975 , 0.392 , 1.442 , 1.360 , 0.886
-0.719 ,-0.746 , 0.110 , 0.432 ,-1.251 ,-1.579 , 0.473 , 0.959 , 0.971 , 1.040 , 0.831 , 0.068 , 0.089 ,-0.000 ,-0.032 ,-0.023 , 1.363 , 1.635 , 0.987 , 0.462 , 0.831
 1.348 , 2.358 , 3.723 , 1.672 , 0.676 , 3.469 , 0.632 , 1.889 , 1.196 , 0.934 , 1.864 , 0.007 , 0.249 , 0.069 ,-0.007 , 0.169 , 0.922 , 0.003 , 0.563 , 0.981 , 0.003
 0.493 , 0.839 , 2.732 , 0.235 , 0.833 , 0.465 , 0.445 , 1.902 , 0.970 , 0.935 , 0.702 ,-0.058 , 0.242 , 0.006 , 0.028 ,-0.116 , 1.402 , 0.007 , 0.966 , 0.681 , 1.947
 1.200 , 1.374 , 0.900 , 1.087 , 0.942 , 2.334 , 0.489 , 0.982 , 1.133 , 0.932 , 1.079 , 0.024 ,-0.017 , 0.032 , 0.016 , 0.095 , 0.834 , 1.219 , 0.813 , 0.923 , 0.353
 1.755 , 1.195 , 3.408 ,-0.684 , 0.002 , 1.960 , 0.481 , 1.914 , 0.960 , 1.007 , 0.827 ,-0.017 , 0.237 , 0.013 , 0.015 , 0.050 , 1.114 , 0.010 , 0.979 , 0.599 , 0.640
-0.551 ,-0.538 , 0.251 ,-1.371 ,-0.456 ,-0.617 , 0.448 , 0.974 , 1.138 , 1.047 , 0.726 , 0.023 , 0.034 , 0.182 ,-0.004 , 0.049 , 0.972 , 0.489 , 2.090 , 0.662 , 1.129
 2.609 , 2.342 , 1.217 , 3.588 , 0.107 , 3.815 , 0.655 , 1.145 , 1.941 , 1.091 , 1.866 ,-0.060 , 0.075 , 0.234 ,-0.031 , 0.166 , 1.511 , 0.540 , 0.014 , 0.896 , 0.004
 1.851 , 1.022 ,-0.456 , 1.343 , 0.896 , 2.088 , 0.493 , 1.014 , 1.150 , 1.118 , 1.083 , 0.037 ,-0.035 , 0.069 ,-0.017 , 0.012 , 0.741 , 0.419 , 0.570 , 1.099 , 0.819
 1.766 , 2.493 , 0.998 , 3.008 , 2.446 , 2.870 , 0.769 , 1.030 , 1.897 , 1.902 , 1.866 , 0.058 , 0.042 , 0.242 , 0.243 , 0.167 , 0.496 , 0.959 , 0.006 , 0.006 , 0.004
 0.516 , 0.691 , 2.224 ,-0.605 , 1.449 , 0.314 , 0.474 , 1.221 , 1.062 , 1.212 , 0.700 , 0.018 ,-0.019 ,-0.035 , 0.090 ,-0.026 , 1.088 , 1.116 , 0.350 , 0.366 , 1.188
-0.376 ,-0.116 , 0.670 ,-0.321 , 1.228 ,-1.053 , 0.437 , 1.067 , 0.970 , 1.135 , 0.748 ,-0.015 ,-0.126 ,-0.047 ,-0.209 , 0.018 , 1.209 , 1.805 , 0.906 , 2.265 , 0.989
-0.088 ,-0.615 , 0.090 ,-1.083 ,-1.164 ,-0.499 , 0.463 , 1.023 , 0.967 , 1.232 , 0.742 ,-0.032 ,-0.099 ,-0.027 ,-0.097 ,-0.014 , 0.853 , 1.366 , 0.917 , 0.284 , 0.837
-0.467 ,-0.272 , 0.221 ,-2.752 ,-0.003 , 0.349 , 0.442 , 0.952 , 1.898 , 0.951 , 0.710 , 0.014 ,-0.012 ,-0.245 , 0.017 , 0.038 , 0.928 , 0.776 , 0.005 , 0.689 , 0.833
-0.682 ,-0.517 , 0.401 ,-0.097 ,-1.937 ,-0.694 , 0.456 , 0.961 , 0.994 , 1.247 , 0.760 ,-0.002 ,-0.179 , 0.022 ,-0.091 ,-0.009 , 1.077 , 1.993 , 1.361 , 0.317 , 0.837
-0.287 ,-0.201 ,-0.625 , 0.364 , 0.672 ,-0.725 , 0.434 , 0.936 , 1.051 , 0.947 , 0.739 , 0.017 ,-0.018 , 0.035 , 0.029 , 0.098 , 0.938 , 0.917 , 0.373 , 0.678 , 1.535
 2.395 , 2.284 , 1.037 , 1.723 , 1.618 , 4.323 , 0.578 , 1.012 , 1.219 , 1.243 , 1.872 , 0.064 , 0.031 , 0.099 , 0.090 , 0.165 , 0.547 , 0.730 , 0.302 , 0.311 , 0.004
 0.762 , 0.474 , 1.340 ,-0.234 , 0.534 , 0.359 , 0.464 , 1.178 , 1.089 , 0.991 , 0.736 ,-0.036 ,-0.266 ,-0.033 , 0.026 ,-0.046 , 1.124 , 2.691 , 0.379 , 0.573 , 1.359
 0.298 , 0.355 , 0.677 ,-0.003 , 0.009 , 0.591 , 0.464 , 1.199 , 1.033 , 0.981 , 0.719 , 0.038 , 0.088 , 0.037 ,-0.034 , 0.026 , 0.603 , 0.409 , 0.359 , 0.555 , 0.774
 0.348 , 0.703 , 0.180 , 0.224 , 1.878 , 0.558 , 0.461 , 1.043 , 0.994 , 1.128 , 0.768 , 0.022 ,-0.019 , 0.023 ,-0.011 , 0.029 , 0.697 , 0.530 , 0.569 , 1.058 , 0.621
 2.063 , 2.334 , 2.147 , 3.017 , 2.860 , 1.116 , 0.766 , 1.928 , 1.939 , 1.949 , 0.824 ,-0.035 , 0.235 , 0.236 , 0.231 ,-0.022 , 1.327 , 0.012 , 0.012 , 0.015 , 1.093
-0.638 ,-0.209 ,-1.156 ,-0.830 , 1.116 ,-0.004 , 0.428 , 1.130 , 0.956 , 1.179 , 0.682 ,-0.008 ,-0.043 , 0.001 , 0.079 ,-0.046 , 0.927 , 0.749 , 0.820 , 0.460 , 1.227
 1.257 , 1.065 ,-0.559 , 3.002 , 2.698 , 0.548 , 0.485 , 0.930 , 1.892 , 1.888 , 0.738 ,-0.107 , 0.040 , 0.246 , 0.250 ,-0.106 , 1.643 , 1.434 , 0.004 , 0.002 , 1.572
 1.372 , 0.722 ,-0.100 , 1.403 , 1.360 , 0.549 , 0.459 , 0.975 , 1.153 , 1.166 , 0.705 ,-0.002 , 0.001 ,-0.009 , 0.079 , 0.029 , 1.033 , 1.318 , 1.037 , 0.474 , 0.930
 0.035 , 0.210 ,-0.401 , 0.583 ,-0.470 , 0.680 , 0.449 , 1.025 , 1.150 , 1.056 , 0.732 ,-0.022 , 0.003 ,-0.047 , 0.032 ,-0.025 , 1.052 , 1.407 , 1.259 , 0.896 , 1.050
 1.149 , 1.030 , 1.061 , 1.163 , 0.868 , 1.018 , 0.477 , 0.967 , 1.167 , 1.184 , 0.730 , 0.026 , 0.029 , 0.078 , 0.006 , 0.019 , 0.795 , 0.742 , 0.461 , 0.996 , 0.844
 1.138 , 1.104 , 3.165 , 0.767 , 0.685 , 0.710 , 0.450 , 1.900 , 0.920 , 0.997 , 0.707 , 0.010 , 0.244 , 0.016 ,-0.021 ,-0.006 , 0.759 , 0.006 , 0.812 , 1.003 , 0.533
 0.816 , 1.722 , 2.766 , 0.807 , 0.368 , 2.688 , 0.536 , 1.910 , 1.080 , 0.978 , 1.080 , 0.007 , 0.240 , 0.034 ,-0.047 , 0.034 , 0.937 , 0.008 , 0.360 , 1.075 , 0.701
-0.206 , 0.693 , 0.452 , 0.564 ,-0.089 , 1.494 , 0.487 , 0.972 , 1.131 , 0.935 , 0.890 , 0.041 , 0.022 , 0.030 , 0.024 , 0.072 , 0.851 , 0.982 , 0.812 , 0.808 , 0.540
 1.309 , 1.848 , 0.566 , 2.981 , 1.598 , 2.435 , 0.560 , 0.921 , 1.963 , 1.145 , 1.063 , 0.006 , 0.012 , 0.228 ,-0.058 , 0.041 , 0.953 , 0.863 , 0.018 , 1.330 , 0.706
 0.188 , 0.298 , 0.268 ,-0.382 , 0.125 , 0.767 , 0.438 , 0.962 , 0.997 , 0.959 , 0.735 ,-0.062 , 0.023 ,-0.031 ,-0.019 ,-0.293 , 1.403 , 0.723 , 0.539 , 0.903 , 2.971
 0.117 ,-0.377 , 2.705 ,-2.864 , 0.233 ,-1.114 , 0.425 , 1.887 , 1.909 , 0.965 , 0.719 ,-0.011 , 0.250 ,-0.237 , 0.026 ,-0.001 , 1.009 , 0.002 , 0.009 , 0.712 , 1.046
-0.537 ,-0.941 ,-2.734 ,-0.240 ,-1.096 ,-0.508 , 0.459 , 1.887 , 0.948 , 0.979 , 0.741 ,-0.002 ,-0.251 , 0.008 ,-0.012 ,-0.024 , 1.019 , 0.001 , 1.035 , 1.123 , 1.003
 1.004 , 1.743 , 1.552 , 0.409 , 2.135 , 2.168 , 0.560 , 1.177 , 1.207 , 1.892 , 0.877 , 0.069 , 0.064 , 0.028 , 0.247 , 0.015 , 0.541 , 0.545 , 0.229 , 0.004 , 0.899
 2.042 , 1.860 , 2.207 , 1.452 , 1.855 , 1.643 , 0.585 , 1.888 , 0.986 , 1.893 , 0.817 , 0.053 , 0.249 ,-0.013 , 0.246 , 0.054 , 0.654 , 0.002 , 1.395 , 0.005 , 0.671
 0.056 , 0.780 ,-0.685 , 2.478 , 0.867 , 0.909 , 0.463 , 0.966 , 1.909 , 0.983 , 0.742 , 0.006 , 0.154 , 0.238 , 0.021 , 0.024 , 1.253 , 1.885 , 0.009 , 1.253 , 1.169
 2.291 , 2.023 , 3.561 , 0.883 , 2.519 , 1.636 , 0.568 , 1.895 , 0.932 , 1.890 , 0.853 , 0.036 , 0.247 ,-0.002 , 0.247 , 0.083 , 0.731 , 0.004 , 1.172 , 0.004 , 0.386
-0.333 ,-0.439 ,-2.788 , 0.051 ,-0.073 , 0.018 , 0.445 , 1.897 , 0.926 , 1.046 , 0.667 , 0.006 ,-0.242 ,-0.021 ,-0.017 , 0.016 , 0.980 , 0.006 , 0.776 , 0.650 , 1.125
 1.964 , 2.775 , 2.683 , 1.143 , 1.872 , 4.148 , 0.776 , 1.894 , 1.175 , 1.195 , 1.903 , 0.041 , 0.245 , 0.067 , 0.091 , 0.150 , 0.596 , 0.005 , 0.564 , 0.363 , 0.010
 0.730 , 0.105 ,-0.919 , 0.939 ,-0.084 , 0.204 , 0.434 , 0.990 , 0.916 , 1.001 , 0.689 ,-0.008 ,-0.031 ,-0.006 ,-0.025 ,-0.021 , 1.036 , 0.576 , 1.063 , 0.741 , 1.186
-1.043 ,-0.900 ,-2.352 , 0.184 ,-0.368 ,-1.368 , 0.482 , 1.206 , 0.931 , 0.969 , 0.948 ,-0.028 ,-0.066 , 0.010 ,-0.040 ,-0.032 , 0.940 , 0.569 , 1.019 , 0.969 , 0.681
-1.689 ,-2.783 ,-3.607 ,-2.120 ,-2.519 ,-2.108 , 0.757 , 1.903 , 1.162 , 1.907 , 1.087 , 0.045 ,-0.244 ,-0.002 ,-0.242 , 0.052 , 1.294 , 0.006 , 0.942 , 0.007 , 1.293
-0.870 ,-0.513 ,-0.667 ,-0.802 ,-0.580 ,-0.271 , 0.447 , 0.990 , 0.963 , 1.204 , 0.680 ,-0.016 , 0.059 ,-0.025 ,-0.102 ,-0.008 , 0.748 , 1.127 , 0.683 , 0.305 , 0.820
 0.700 , 0.110 , 0.596 ,-0.079 ,-0.849 , 0.402 , 0.433 , 1.013 , 0.953 , 1.143 , 0.664 , 0.002 ,-0.100 ,-0.024 ,-0.075 , 0.023 , 1.119 , 1.791 , 0.883 , 0.540 , 1.099
-1.005 ,-1.355 ,-1.248 , 0.236 ,-2.820 ,-1.844 , 0.499 , 1.150 , 0.957 , 1.905 , 0.855 ,-0.006 , 0.059 , 0.038 ,-0.242 ,-0.053 , 0.976 , 1.333 , 0.780 , 0.007 , 0.671
 0.225 , 0.256 , 0.266 , 1.383 ,-0.301 , 0.151 , 0.442 , 0.920 , 1.275 , 0.985 , 0.688 , 0.009 ,-0.023 , 0.085 ,-0.044 , 0.041 , 0.930 , 1.250 , 0.311 , 0.994 , 0.886
-0.844 ,-1.775 ,-1.302 ,-3.452 ,-0.867 ,-1.745 , 0.521 , 1.200 , 1.892 , 0.955 , 0.824 ,-0.021 ,-0.101 ,-0.245 ,-0.023 , 0.019 , 0.848 , 0.316 , 0.005 , 0.827 , 1.077
 1.705 , 1.268 , 1.519 , 0.132 , 1.798 , 1.581 , 0.501 , 1.138 , 0.954 , 1.220 , 0.849 , 0.002 , 0.039 ,-0.000 , 0.082 ,-0.000 , 0.936 , 0.771 , 1.006 , 0.421 , 0.908
-1.371 ,-1.590 ,-0.824 ,-1.111 ,-3.334 ,-1.358 , 0.537 , 1.062 , 1.150 , 1.902 , 0.854 ,-0.023 ,-0.035 ,-0.081 ,-0.243 , 0.013 , 0.825 , 0.425 , 0.497 , 0.006 , 1.094
 0.436 ,-0.069 ,-0.706 ,-1.465 , 0.328 , 0.674 , 0.426 , 0.961 , 1.145 , 0.994 , 0.678 ,-0.004 , 0.033 ,-0.022 , 0.036 ,-0.014 , 1.094 , 1.424 , 0.844 , 0.453 , 1.145
