trueloc,facrasch,facse,idall,id1,id2,id3,id4,  seall,se1,se2,se3,se4,  zall,z1,z2,z3,z4,  zzall,zz1,zz2,zz3,zz4
 1.510, 2.846, 0.764, 2.846, 3.700, 1.985, 2.255, 2.021, 0.764, 1.892, 1.925, 1.908, 0.836, 0.088, 0.376, 0.155, 0.179,-0.134, 0.309, 0.014, 0.005, 0.005, 0.705
 1.204, 1.927, 0.642, 1.927, 2.787, 1.105, 1.354, 2.151, 0.642, 1.924, 1.138, 1.232, 1.094, 0.058, 0.361,-0.203,-0.081, 0.107, 0.588, 0.035, 1.260, 0.754, 0.556
 2.051, 2.639, 0.752, 2.639, 2.822, 2.799, 2.812, 1.689, 0.752, 1.889, 1.907, 1.888, 0.835, 0.017, 0.273, 0.261, 0.268,-0.358, 0.834, 0.004, 0.011, 0.006, 1.954
 1.187, 0.967, 0.497, 0.967, 1.741, 2.387, 0.086, 0.467, 0.497, 1.186, 1.890, 1.000, 0.723,-0.081, 0.321, 0.503,-0.604,-0.312, 1.615, 0.627, 0.018, 3.154, 2.128
 0.693, 0.994, 0.469, 0.994, 0.893, 1.859, 0.537, 0.935, 0.469, 0.992, 1.227, 0.962, 0.762, 0.041, 0.004, 0.316,-0.205, 0.046, 0.618, 0.560, 0.328, 1.450, 0.532
 2.060, 2.978, 0.776, 2.978, 3.226, 3.411, 2.211, 2.446, 0.776, 1.938, 2.012, 1.243, 1.088,-0.065, 0.263, 0.268,-0.151,-0.353, 1.638, 0.023, 0.053, 0.945, 3.696
 0.117,-0.443, 0.451,-0.443, 2.345,-3.168, 0.340,-1.010, 0.451, 1.893, 1.952, 1.073, 0.747, 0.001, 1.000,-0.892, 0.393,-0.248, 1.056, 0.063, 0.326, 1.934, 0.632
-0.218,-0.479, 0.474,-0.479,-0.761,-1.414, 0.846,-0.629, 0.474, 1.149, 1.173, 1.016, 0.788,-0.034,-0.155,-0.379, 0.570,-0.103, 0.678, 0.680, 0.608, 1.160, 0.437
 0.478, 1.021, 0.505, 1.021, 2.789,-0.678, 2.704, 0.464, 0.505, 1.894, 1.058, 1.924, 0.757,-0.096, 0.601,-1.264, 0.539,-0.177, 1.790, 0.024, 5.480, 0.087, 1.031
 1.868, 3.314, 1.048, 3.314, 3.633, 1.242, 2.341, 3.382, 1.048, 1.952, 1.164, 1.894, 1.866, 0.012, 0.268,-0.704, 0.150, 0.173, 0.762, 0.029, 3.723, 0.003, 0.004
-1.125,-1.849, 0.539,-1.849,-0.797,-1.203,-3.479,-1.828, 0.539, 1.220, 1.018, 1.899, 0.849, 0.098, 0.971, 0.172,-0.544,-0.054, 2.010, 8.391, 0.660, 0.044, 0.636
 0.417,-0.048, 0.433,-0.048,-0.105,-0.519, 0.576,-0.139, 0.433, 1.013, 1.000, 0.941, 0.676,-0.014, 0.046,-0.246, 0.326,-0.097, 1.568, 1.916, 1.126, 1.945, 1.862
-0.366,-0.386, 0.437,-0.386,-1.457,-0.477,-0.853, 0.278, 0.437, 1.181, 0.972, 1.002, 0.653, 0.029,-0.402, 0.029,-0.189, 0.354, 1.058, 0.439, 1.557, 0.550, 1.441
 0.559, 1.400, 0.498, 1.400, 1.419, 3.551, 1.486, 0.598, 0.498, 1.166, 1.946, 1.131, 0.694,-0.002, 0.054, 0.661, 0.085,-0.405, 1.142, 0.835, 0.191, 0.799, 1.804
-0.395,-0.224, 0.426,-0.224,-0.197,-1.075, 0.885,-0.338, 0.426, 0.968, 1.133, 1.156, 0.673,-0.006, 0.005,-0.270, 0.373,-0.069, 1.131, 1.177, 1.544, 1.713, 0.923
-0.795,-0.778, 0.464,-0.778, 0.120,-0.987,-1.988,-0.665, 0.464, 0.986, 1.042, 1.225, 0.733,-0.018, 0.355,-0.076,-0.419, 0.025, 0.752, 0.672, 0.935, 0.417, 0.934
 1.521, 1.972, 0.631, 1.972, 2.794,-0.783, 3.143, 3.276, 0.631, 1.925, 0.973, 1.889, 1.864,-0.065, 0.345,-1.766, 0.446, 0.324, 1.479, 0.042, 4.266, 0.010, 0.011
 2.867, 4.498, 1.844, 4.498, 2.082, 2.480, 2.812, 3.881, 1.844, 1.958, 1.916, 1.927, 1.866, 0.101, 0.069, 0.087, 0.102, 0.123, 0.002, 0.002, 0.002, 0.002, 0.002
-0.128,-0.636, 0.435,-0.636,-1.502,-0.282,-1.998, 0.234, 0.435, 1.143, 0.953, 1.125, 0.668, 0.030,-0.365, 0.194,-0.578, 0.450, 1.281, 0.596, 1.866, 0.614, 1.545
 1.283, 2.122, 0.662, 2.122, 2.155, 2.201, 3.020, 1.209, 0.662, 1.918, 1.891, 1.912, 0.785,-0.033, 0.244, 0.255, 0.367,-0.516, 1.379, 0.012, 0.007, 0.034, 3.218
 1.210,-0.058, 0.445,-0.058,-0.370,-0.533, 0.693,-0.009, 0.445, 1.044, 0.966, 1.034, 0.695,-0.015,-0.128,-0.245, 0.276, 0.010, 0.663, 0.431, 1.035, 0.556, 0.786
 1.477, 0.595, 0.465, 0.595,-0.080, 1.355, 0.290, 0.607, 0.465, 1.070, 0.970, 1.134, 0.722, 0.022,-0.199, 0.385,-0.122, 0.024, 0.940, 1.337, 1.247, 1.506, 0.576
-0.304, 0.906, 0.477, 0.906, 0.288, 1.326, 1.393, 0.894, 0.477, 0.925, 1.216, 1.196, 0.745, 0.023,-0.264, 0.098, 0.224, 0.028, 0.881, 1.282, 1.611, 0.390, 0.818
-0.840,-1.137, 0.503,-1.137,-2.242,-1.208, 0.261,-1.296, 0.503, 1.278, 1.160, 1.145, 0.814, 0.161,-0.307,-0.006, 0.921, 0.099, 2.294, 2.380, 1.339, 4.114, 2.173
 1.140, 1.685, 0.531, 1.685, 2.029, 2.925, 1.364, 1.054, 0.531, 1.131, 1.904, 1.180, 0.771, 0.047, 0.166, 0.454,-0.053,-0.166, 0.793, 0.788, 0.025, 0.971, 1.166
 0.402,-0.386, 0.442,-0.386, 0.026, 0.711,-1.625,-0.520, 0.442, 1.153, 0.953, 1.134, 0.692, 0.008, 0.063, 0.641,-0.524,-0.070, 1.007, 0.341, 1.938, 0.902, 0.885
 1.572, 1.070, 0.480, 1.070, 0.645, 0.325, 2.046, 1.313, 0.480, 0.959, 0.983, 1.892, 0.752, 0.025,-0.215,-0.270, 0.400, 0.105, 0.801, 1.511, 1.062, 0.015, 0.820
 1.961, 2.029, 0.576, 2.029, 2.664, 1.649, 2.247, 1.721, 0.576, 1.889, 1.145, 1.252, 0.824, 0.066, 0.341,-0.083, 0.144,-0.036, 0.549, 0.006, 1.066, 0.334, 0.770
-1.766,-1.231, 0.518,-1.231,-1.706,-1.338,-0.170,-1.629, 0.518, 1.186, 1.217, 0.979, 0.898, 0.069,-0.150, 0.048, 0.785,-0.168, 1.542, 1.314, 1.956, 3.981, 0.516
 0.220, 0.000, 0.427, 0.000, 1.440,-0.688, 0.575,-0.549, 0.427, 1.174, 0.931, 0.961, 0.679,-0.032, 0.612,-0.340, 0.247,-0.341, 1.385, 1.187, 1.234, 0.876, 1.796
 1.831, 0.910, 0.473, 0.910, 0.331, 1.726, 0.781, 0.946, 0.473, 1.049, 1.266, 0.959, 0.749, 0.011,-0.203, 0.337,-0.017,-0.031, 1.024, 1.093, 0.871, 0.942, 1.352
 1.130, 2.090, 0.639, 2.090, 1.372, 1.378, 3.067, 2.272, 0.639, 1.201, 1.165, 1.927, 1.087,-0.036,-0.603,-0.218, 0.381, 0.129, 1.309, 4.771, 1.494, 0.042, 0.363
 0.877, 1.292, 0.496, 1.292,-0.490, 3.518, 0.356, 2.178, 0.496, 0.951, 1.912, 1.008, 1.069,-0.028,-0.954, 0.721,-0.322, 0.207, 1.229, 1.956, 0.114, 1.052, 0.993
 1.755, 1.471, 0.530, 1.471, 1.132, 2.587, 0.759, 1.569, 0.530, 1.186, 1.904, 0.968, 0.847, 0.068,-0.051, 0.421,-0.245, 0.106, 0.568, 0.931, 0.027, 0.966, 0.527
 2.816, 2.475, 0.753, 2.475, 1.811, 0.942, 2.651, 3.501, 0.753, 1.160, 1.180, 1.911, 1.865, 0.039,-0.152,-0.462, 0.258, 0.276, 0.656, 1.099, 2.234, 0.015, 0.013
 2.163, 2.641, 0.756, 2.641, 2.932, 0.744, 1.968, 3.772, 0.756, 1.909, 1.149, 1.143, 1.874,-0.002, 0.273,-0.702,-0.152, 0.285, 1.002, 0.017, 3.888, 1.122, 0.019
 1.404, 1.409, 0.495, 1.409, 1.517, 1.392, 0.466, 2.121, 0.495, 0.972, 1.130, 0.952, 1.065, 0.006, 0.000, 0.038,-0.397, 0.193, 0.994, 1.506, 0.937, 1.479, 0.778
 2.390, 2.200, 0.571, 2.200, 1.971, 2.942, 2.769, 1.649, 0.571, 1.141, 1.915, 1.894, 0.743, 0.030,-0.275, 0.344, 0.328,-0.123, 0.811, 2.844, 0.026, 0.009, 0.702
 0.164,-0.036, 0.443,-0.036,-0.547,-0.138, 0.296, 0.068, 0.443, 1.035, 1.074, 0.972, 0.663,-0.007,-0.196, 0.004, 0.098, 0.031, 0.686, 0.730, 0.534, 0.924, 0.829
-0.565,-0.417, 0.452,-0.417,-1.263, 0.444,-0.197,-0.565, 0.452, 1.130, 0.999, 1.033, 0.750,-0.019,-0.360, 0.372, 0.063,-0.084, 0.979, 0.602, 0.982, 2.095, 0.817
 1.108, 1.156, 0.468, 1.156, 0.272, 1.927, 0.602, 1.466, 0.468, 1.124, 1.212, 0.955, 0.723,-0.115,-0.607, 0.080,-0.196, 0.074, 2.039, 4.381, 2.740, 0.981, 1.638
 0.405, 1.020, 0.437, 1.020, 0.028, 1.656, 1.166, 1.250, 0.437, 0.933, 1.167, 0.961, 0.718, 0.031,-0.460, 0.278, 0.089, 0.125, 0.734, 0.999, 0.522, 0.945, 0.682
 1.340, 0.864, 0.463, 0.864,-0.380, 1.306, 1.568, 0.977, 0.463, 1.022, 1.159, 1.151, 0.750, 0.042,-0.476, 0.220, 0.302, 0.081, 0.665, 0.783, 0.460, 0.701, 0.703
 0.957, 1.846, 0.642, 1.846, 1.230, 2.024, 1.676, 2.008, 0.642, 1.142, 1.912, 1.231, 1.071, 0.069,-0.159, 0.266, 0.052, 0.094, 0.513, 1.253, 0.010, 0.400, 0.578
-0.945,-0.570, 0.442,-0.570,-1.835, 0.395,-0.045,-0.701, 0.442, 1.181, 0.990, 1.091, 0.677, 0.011,-0.535, 0.412, 0.331,-0.076, 1.111, 1.020, 1.193, 2.094, 0.728
 1.876, 1.772, 0.570, 1.772, 2.625, 0.654, 3.049, 1.420, 0.570, 1.899, 1.002, 1.958, 0.812, 0.014, 0.377,-0.410, 0.435,-0.165, 0.919, 0.014, 1.271, 0.075, 1.540
-0.335,-0.438, 0.458,-0.438,-0.804,-0.092, 0.232,-0.833, 0.458, 1.156, 0.983, 0.996, 0.762, 0.032,-0.080, 0.122, 0.293,-0.087, 1.173, 1.539, 1.484, 0.872, 1.332
 0.210,-0.179, 0.428,-0.179,-0.302,-1.871,-0.404, 0.766, 0.428, 0.939, 1.165, 0.953, 0.696,-0.009,-0.054,-0.720,-0.117, 0.423, 1.081, 1.665, 0.846, 0.713, 0.955
 1.784, 0.815, 0.446, 0.815, 0.326, 3.051, 0.680, 0.194, 0.446, 0.935, 1.887, 0.947, 0.719,-0.019,-0.248, 0.767,-0.082,-0.266, 1.024, 1.571, 0.014, 1.511, 0.913
 0.552, 0.806, 0.456, 0.806, 0.112, 1.766, 0.455, 0.923, 0.456, 0.979, 1.145, 0.975, 0.790,-0.036,-0.307, 0.397,-0.230,-0.019, 1.104, 0.894, 0.465, 1.992, 1.287
 2.148, 2.715, 0.756, 2.715, 3.350, 1.896, 2.683, 2.250, 0.756, 1.918, 1.168, 1.902, 1.084,-0.021, 0.324,-0.539, 0.241,-0.064, 1.108, 0.026, 3.950, 0.007, 0.930
-0.361,-0.799, 0.446,-0.799,-1.521,-1.350,-1.667, 0.171, 0.446, 1.126, 0.975, 1.179, 0.675,-0.020,-0.312,-0.309,-0.349, 0.434, 1.010, 0.679, 1.444, 0.399, 1.191
 2.499, 2.977, 0.763, 2.977, 3.026, 3.383, 1.404, 2.919, 0.763, 1.940, 1.920, 1.247, 1.089, 0.079, 0.238, 0.287,-0.270, 0.070, 0.373, 0.019, 0.022, 0.931, 0.456
 0.127,-0.197, 0.445,-0.197, 0.178,-1.669,-1.092, 0.707, 0.445, 0.954, 1.184, 0.976, 0.713, 0.031, 0.194,-0.591,-0.398, 0.477, 1.389, 1.810, 0.875, 0.977, 1.525
-1.755,-1.783, 0.544,-1.783,-1.109,-2.137,-1.424,-2.380, 0.544, 0.979, 1.268, 1.255, 1.079,-0.045, 0.347,-0.170, 0.011,-0.208, 0.777, 2.056, 0.813, 0.563, 0.422
 0.101,-0.037, 0.421,-0.037,-0.576, 1.113,-0.293,-0.072, 0.421, 0.928, 1.175, 0.932, 0.670,-0.002,-0.281, 0.446,-0.137,-0.019, 0.875, 1.434, 0.511, 1.123, 0.805
 1.488, 1.335, 0.487, 1.335, 0.541, 1.481, 1.746, 1.526, 0.487, 0.984, 1.151, 1.146, 0.822, 0.008,-0.266, 0.053, 0.008, 0.123, 0.969, 1.004, 1.160, 2.201, 0.587
 0.669, 0.319, 0.446, 0.319, 0.637,-0.056,-1.795, 1.424, 0.446, 0.942, 0.995, 1.224, 0.855, 0.029, 0.150,-0.098,-0.775, 0.434, 0.811, 0.773, 0.804, 0.556, 0.655
 1.755, 2.206, 0.644, 2.206, 1.289, 2.175, 1.392, 2.837, 0.644, 1.229, 1.910, 1.174, 1.081, 0.080,-0.124, 0.236,-0.178, 0.233, 0.431, 0.636, 0.010, 1.069, 0.288
 0.627, 0.934, 0.498, 0.934, 0.533, 2.745,-0.896, 1.268, 0.498, 1.118, 1.906, 1.010, 0.767,-0.013,-0.147, 0.586,-0.826, 0.160, 0.967, 1.523, 0.071, 1.744, 0.484
 2.218, 2.262, 0.576, 2.262, 3.670, 1.688, 1.189, 2.645, 0.576, 1.921, 1.221, 0.964, 1.086, 0.006, 0.473,-0.209,-0.473, 0.121, 0.924, 0.061, 1.691, 1.683, 0.647
 0.090, 0.779, 0.459, 0.779, 1.276, 2.507,-0.102, 0.363, 0.459, 0.943, 1.928, 0.938, 0.679,-0.018, 0.243, 0.555,-0.391,-0.248, 1.163, 0.956, 0.087, 1.493, 1.618
 1.930, 1.353, 0.515, 1.353,-1.213, 2.663, 1.314, 2.559, 0.515, 1.220, 1.909, 1.131, 1.121, 0.003,-1.188, 0.453, 0.022, 0.363, 1.002, 1.865, 0.048, 1.000, 0.334
 1.715, 1.091, 0.491, 1.091, 3.230,-0.029, 1.209, 0.661, 0.491, 1.888, 0.930, 1.174, 0.741,-0.021, 0.728,-0.505, 0.080,-0.203, 1.151, 0.018, 1.679, 0.827, 1.464
 0.606, 0.496, 0.458, 0.496, 0.925, 0.124, 1.344, 0.104, 0.458, 0.995, 0.952, 1.222, 0.723, 0.053, 0.295,-0.115, 0.323,-0.119, 1.025, 1.779, 0.857, 0.310, 1.303
-0.146,-0.974, 0.457,-0.974,-1.482,-1.663, 0.144,-1.122, 0.457, 1.173, 1.205, 0.947, 0.722, 0.035,-0.176,-0.284, 0.543, 0.047, 1.338, 1.218, 0.801, 1.233, 1.899
-0.635,-1.070, 0.473,-1.070,-0.311,-0.526,-1.422,-1.724, 0.473, 0.926, 0.950, 1.297, 0.817,-0.006, 0.348, 0.311,-0.163,-0.264, 0.956, 1.478, 1.836, 0.456, 0.659
 0.958, 0.793, 0.438, 0.793, 0.743, 1.261, 0.029, 0.975, 0.438, 1.097, 0.952, 0.950, 0.692,-0.066, 0.005, 0.187,-0.423,-0.050, 1.555, 0.774, 1.682, 1.554, 2.256
-0.792,-1.131, 0.468,-1.131,-0.801,-2.701,-1.502,-0.624, 0.468, 0.975, 1.907, 1.206, 0.693, 0.005, 0.138,-0.524,-0.115, 0.262, 1.048, 1.525, 0.051, 1.283, 1.279
 2.740, 3.682, 1.037, 3.682, 3.146, 2.659, 2.114, 4.107, 1.037, 1.932, 1.940, 1.136, 1.879,-0.115, 0.176, 0.141,-1.279, 0.194, 2.308, 0.011, 0.006,11.684, 0.012
-1.270,-1.373, 0.511,-1.373,-1.980,-1.425,-1.528,-0.997, 0.511, 1.189, 1.204, 1.262, 0.751, 0.052,-0.264,-0.101,-0.129, 0.378, 1.488, 0.361, 0.456, 0.332, 3.252
 1.322, 1.757, 0.566, 1.757, 1.351, 0.819, 1.732, 3.308, 0.566, 1.137, 0.958, 1.138, 1.876, 0.032,-0.183,-0.385, 0.019, 0.354, 0.792, 1.746, 1.375, 1.039, 0.027
 1.594, 1.511, 0.537, 1.511, 3.182, 2.119,-0.178, 1.310, 0.537, 1.959, 1.132, 0.989, 0.859,-0.091, 0.525, 0.255,-0.850,-0.193, 1.662, 0.118, 0.834, 2.999, 2.067
 1.923, 2.927, 1.036, 2.927, 1.817, 2.356, 2.674, 2.103, 1.036, 1.892, 1.929, 1.922, 1.086,-0.032, 0.141, 0.177, 0.209,-0.344, 1.239, 0.002, 0.008, 0.010, 3.113
 0.767, 0.642, 0.450, 0.642,-0.676, 0.560,-0.068, 2.039, 0.450, 1.115, 0.942, 0.992, 1.070, 0.019,-0.409,-0.034,-0.311, 0.424, 0.812, 0.434, 1.396, 0.884, 0.612
-0.938,-1.490, 0.500,-1.490,-2.910,-0.517,-1.848,-1.219, 0.500, 1.900, 1.036, 1.166, 0.751, 0.062,-0.494, 0.834,-0.190, 0.080, 1.484, 0.032, 5.078, 0.481, 0.933
-1.472,-1.556, 0.504,-1.556, 0.192,-3.611,-1.367,-1.880, 0.504, 0.979, 1.930, 1.139, 0.841,-0.009, 0.804,-0.633, 0.090,-0.154, 0.964, 1.412, 0.158, 1.476, 0.606
 1.531, 2.840, 0.760, 2.840, 2.826, 0.612, 3.393, 3.927, 0.760, 1.997, 1.003, 1.894, 1.880, 0.025, 0.216,-0.969, 0.327, 0.274, 0.723, 0.032, 2.699, 0.007, 0.022
-0.811,-0.309, 0.426,-0.309, 2.430,-0.856,-1.385,-0.667, 0.426, 1.889, 0.939, 1.132, 0.718,-0.029, 0.981,-0.276,-0.451,-0.200, 0.936, 0.040, 1.128, 0.807, 0.888
 2.784, 3.034, 0.760, 3.034, 2.140, 3.878, 2.938, 2.461, 0.760, 1.195, 1.918, 1.894, 1.078, 0.021,-0.363, 0.361, 0.234,-0.063, 0.769, 2.273, 0.030, 0.005, 0.844
-0.974,-0.559, 0.460,-0.559,-0.494,-1.091, 0.525,-0.968, 0.460, 0.995, 1.153, 0.992, 0.774,-0.025, 0.031,-0.248, 0.467,-0.187, 0.630, 0.916, 0.476, 0.971, 0.436
 0.906, 0.949, 0.473, 0.949, 0.203, 3.257, 1.122, 0.453, 0.473, 0.942, 1.946, 1.065, 0.696, 0.029,-0.463, 0.719, 0.181,-0.145, 1.097, 2.350, 0.217, 1.494, 0.676
 0.131, 0.008, 0.423, 0.008,-0.815, 2.190,-0.489,-0.060, 0.423, 0.938, 1.898, 0.934, 0.676, 0.025,-0.429, 0.730,-0.226, 0.026, 1.138, 1.821, 0.059, 0.818, 1.411
-0.098,-0.042, 0.436,-0.042,-0.535, 0.913, 0.198,-0.467, 0.436, 0.968, 0.948, 0.944, 0.746, 0.025,-0.212, 0.496, 0.210,-0.186, 1.248, 0.703, 1.429, 2.204, 1.178
 0.883, 0.336, 0.442, 0.336, 0.127, 0.494,-0.992, 1.112, 0.442, 0.957, 0.930, 1.190, 0.856, 0.026,-0.089, 0.074,-0.495, 0.321, 0.823, 1.062, 1.248, 0.362, 0.752
 1.885, 1.426, 0.518, 1.426, 1.389, 2.742, 2.662, 0.422, 0.518, 1.165, 1.884, 1.899, 0.706,-0.004,-0.214, 0.487, 0.453,-0.374, 1.051, 2.786, 0.002, 0.023, 1.128
-0.818,-0.404, 0.455,-0.404,-1.200, 0.602,-0.255,-0.701, 0.455, 1.188, 0.985, 1.005, 0.749,-0.018,-0.324, 0.509, 0.032,-0.153, 0.790, 0.628, 1.512, 0.894, 0.530
-0.077,-0.248, 0.451,-0.248,-2.227,-0.137, 0.667,-0.016, 0.451, 1.906, 0.924, 0.996, 0.741, 0.002,-0.653, 0.044, 0.407, 0.106, 0.672, 0.060, 1.144, 1.023, 0.460
